Date	Rating	Rounds
13-Mar-2018	1027	92
31-Jan-2018	1026	93
12-Dec-2017	1026	101
14-Nov-2017	1026	95
25-Oct-2017	1022	84
26-Sep-2017	1024	88
22-Aug-2017	1025	85
25-Jul-2017	1024	85
27-Jun-2017	1025	84
23-May-2017	1022	73
26-Apr-2017	1024	66
28-Mar-2017	1025	68
24-Jan-2017	1031	63
6-Dec-2016	1034	56
15-Nov-2016	1034	62
18-Oct-2016	1033	70
20-Sep-2016	1030	74
16-Aug-2016	1028	83
19-Jul-2016	1028	77
21-Jun-2016	1029	90
17-May-2016	1030	99
22-Mar-2016	1029	105
26-Jan-2016	1027	106
8-Dec-2015	1025	101
17-Nov-2015	1026	101
20-Oct-2015	1025	103
30-Sep-2015	1024	93
1-Sep-2015	1025	84
28-Jul-2015	1028	82
23-Jun-2015	1025	82
26-May-2015	1027	80
28-Apr-2015	1029	82
24-Mar-2015	1027	83
27-Jan-2015	1029	83
16-Dec-2014	1030	85
18-Nov-2014	1030	89
28-Oct-2014	1031	87
30-Sep-2014	1031	85
9-Sep-2014	1033	89
15-Jul-2014	1034	105
24-Jun-2014	1033	96
27-May-2014	1031	96
15-Apr-2014	1030	103
18-Mar-2014	1033	108
18-Feb-2014	1033	110
21-Jan-2014	1032	109
17-Dec-2013	1034	109
19-Nov-2013	1034	107
22-Oct-2013	1032	109
1-Oct-2013	1033	106
13-Aug-2013	1028	99
2-Jul-2013	1028	101
11-Jun-2013	1029	98
21-May-2013	1029	95
23-Apr-2013	1028	94
26-Mar-2013	1026	85
26-Feb-2013	1025	71
29-Jan-2013	1025	67
18-Dec-2012	1025	62
13-Nov-2012	1028	55
23-Oct-2012	1030	51
18-Sep-2012	1033	41
14-Aug-2012	1024	37
3-Jul-2012	1022	36
15-May-2012	1025	41
24-Jan-2012	1028	54
30-Aug-2011	1028	62
12-Jul-2011	1033	60
21-Jun-2011	1034	52
17-May-2011	1032	52
29-Mar-2011	1028	45
26-Oct-2010	1029	51
31-Aug-2010	1028	55
22-Jun-2010	1029	54
23-Mar-2010	1034	58
26-Jan-2010	1035	56
15-Dec-2009	1034	53
20-Oct-2009	1034	58
1-Sep-2009	1034	59
21-Jul-2009	1028	68
19-May-2009	1030	75
17-Mar-2009	1032	77
27-Jan-2009	1031	77
25-Nov-2008	1031	81
9-Sep-2008	1029	84
24-Jun-2008	1029	76
29-Apr-2008	1033	57
29-Jan-2008	1027	65
13-Nov-2007	1030	77
17-Sep-2007	1029	79
28-Aug-2007	1029	81
26-Jun-2007	1029	83
10-Apr-2007	1033	103
30-Jan-2007	1038	102
19-Dec-2006	1038	91
19-Sep-2006	1038	103
27-Jun-2006	1039	104
18-Apr-2006	1038	102
24-Jan-2006	1035	101
15-Dec-2005	1032	95
4-Oct-2005	1035	102
