"","Place","Name","Fairway.Hits","Parked","Circle.1","Circle.2","Scramble","Circle.1.Putting","Circle.2.Putting","SGTG","SGP","SGC1X","SGC2","OB","Score","Rating","NR","tournament","longt","shortt","intert","Scorez","Fairway.Hitsz","Circle.1z","Circle.2z","Scramblez","Circle.1.Puttingz","Circle.2.Puttingz","OBz","Year"
"1",1,"Nate Sexton",82,31,56,85,71,87,27,15.86,7.04,3.49,3.55,4,198,1035,4,"LVC2020_MPO",96.7451405325063,76.9578746719657,70.9391980500765,-2.07990419534843,0.776807456171174,1.01861556830671,1.21940953957127,1.2176891732636,0.760297254698782,0.361982903466553,-1.07007787482432,2020
"2",2,"Garrett Gurthie",80,38,68,80,100,72,14,16.61,0.06,-0.23,0.29,2,200,1031,4,"LVC2020_MPO",99.9500369742546,50.418684426268,74.3152215942268,-1.86844726882134,0.49221133108744,2.39940556090025,0.580371894263302,2.79181930809173,-0.293751212042711,-0.627853104978194,-1.62560766515865,2020
"3",3,"Ricky Wysocki",87,20,52,87,38,79,52,9.97,11.34,2.15,9.18,8,201,1049,4,"LVC2020_MPO",92.3159098434382,62.8036398742602,74.3714785772243,-1.76271880555779,1.48829776888051,0.558352237442196,1.47502459769446,-0.57356235947186,0.198138072436652,2.26551368893722,0.0409817058443356,2020
"4",4,"Tristan Tanner",83,19,55,84,70,71,48,12.07,8.24,-0.11,8.35,7,202,991,4,"LVC2020_MPO",87.273071216141,48.6494050765548,85.4690052178892,-1.65699034229425,0.91910551871304,0.903549735590581,1.09160201050968,1.16340882378677,-0.364021109825478,1.96094876326191,-0.236783189322828,2020
"5",5,"Simon Lizotte",89,24,60,89,38,74,46,13.81,7.09,-0.26,7.35,7,203,1040,4,"LVC2020_MPO",98.3367806138976,53.9572431256944,70.0955681938949,-1.5512618790307,1.77289389396424,1.47887889917122,1.73063965581764,-0.57356235947186,-0.153211416477179,1.80866630042426,-0.236783189322828,2020
"6",6,"Kevin Jones",78,21,53,81,50,84,44,11.66,9.24,1.57,7.68,8,204,1037,4,"LVC2020_MPO",84.6759085814402,71.6500366228261,73.9008148188668,-1.44553341576716,0.207615206003707,0.673418070158324,0.708179423324895,0.0778018342501259,0.549487561350484,1.65638383758661,0.0409817058443356,2020
"7",7,"Oskari Vikström",79,19,54,78,78,70,48,15.8,5.1,-2.51,7.61,9,193,950,4,"LVC2020_MPO",79.8906777938605,46.8801257268416,88.9560386086103,-2.60854651166616,0.349913268545574,0.788483902874452,0.324756836140115,1.59765161960143,-0.434291007608244,1.96094876326191,0.318746601011499,2020
"8",8,"Philo Brathwaite",81,11,57,81,83,83,21,7.8,5.11,4.48,0.63,3,205,1015,4,"LVC2020_MPO",77.0464586017526,69.8807572731129,71.8938377528287,-1.33980495250361,0.634509393629307,1.13368140102284,0.708179423324895,1.86905336698559,0.479217663567717,-0.094864485046407,-1.34784276999148,2020
"9",8,"Eric Oakley",88,17,56,83,38,76,38,11.62,5.28,0.5,4.78,7,207,1023,4,"LVC2020_MPO",86.3205884134245,57.4958018251207,64.3943543494557,-1.12834802597652,1.63059583142237,1.01861556830671,0.963794481448083,-0.57356235947186,-0.0126716209116463,1.19953644907365,-0.236783189322828,2020
"10",10,"Calvin Heimburg",77,24,61,83,64,79,17,16.07,2.84,2.66,0.18,11,207,1017,4,"LVC2020_MPO",86.8119821693138,62.8036398742602,60.7615265276465,-1.12834802597652,0.0653171434618406,1.59394473188735,0.963794481448083,0.837726726925776,0.198138072436652,-0.399429410721714,0.874276391345827,2020
"11",11,"Austin Hannum",76,13,55,81,80,92,9,8.89,4.42,7.66,-3.25,4,209,1041,4,"LVC2020_MPO",74.647344534695,85.8042714205315,62.0343794646495,-0.916891099449433,-0.076980919080026,0.903549735590581,0.708179423324895,1.70621231855509,1.11164674361261,-1.00855926207233,-1.07007787482432,2020
"12",11,"Cale Leiviska",78,8,54,74,40,81,25,4.6,5.3,3.85,1.45,3,210,1027,4,"LVC2020_MPO",68.6142225468127,66.3421985736866,56.0016401999223,-0.811162636185888,0.207615206003707,0.788483902874452,-0.18647328010626,-0.465001660518196,0.338677868002185,0.2097004406289,-1.34784276999148,2020
"13",13,"Ezra Aderhold",76,9,54,83,80,86,12,5.49,2.74,4.1,-1.36,5,210,1035,4,"LVC2020_MPO",70.6491988328493,75.1885953222525,64.1723346563142,-0.811162636185888,-0.076980919080026,0.788483902874452,0.963794481448083,1.70621231855509,0.690027356916016,-0.780135567815848,-0.792312979657155,2020
"14",14,"Luke Samson",77,13,44,76,40,89,36,2.44,10.47,6.05,4.42,9,211,993,4,"LVC2020_MPO",72.0676759535094,80.496433371392,63.8408092360262,-0.705434172922343,0.0653171434618406,-0.36217442428683,0.0691417780169275,-0.465001660518196,0.900837050264315,1.04725398623599,0.318746601011499,2020
"15",14,"Emerson Keith",85,20,56,86,55,81,26,10.52,4.5,3.12,1.38,10,213,981,4,"LVC2020_MPO",87.9992662461568,66.3421985736866,63.2524795380793,-0.493977246395253,1.20370164379677,1.01861556830671,1.34721706863286,0.349203581634287,0.338677868002185,0.285841672047727,0.596511496178663,2020
"16",14,"Sias Elmore",79,15,53,79,50,81,14,8.89,3.01,3.02,-0.01,8,213,1024,4,"LVC2020_MPO",75.1717132827586,66.3421985736866,52.5212629022198,-0.493977246395253,0.349913268545574,0.673418070158324,0.452564365201708,0.0778018342501259,0.338677868002185,-0.627853104978194,0.0409817058443356,2020
"17",14,"Scott Withers",73,17,51,75,47,83,22,8.57,5.33,4.08,1.25,10,213,1019,4,"LVC2020_MPO",72.480345447703,69.8807572731129,56.9148392251386,-0.493977246395253,-0.503875106705626,0.443286404726068,-0.0586657510446661,-0.0850392141803705,0.479217663567717,-0.0187232536275802,0.596511496178663,2020
"18",14,"Colten Montgomery",89,13,48,89,60,83,12,5.23,1,2.56,-1.55,6,213,1039,4,"LVC2020_MPO",79.7328724841356,69.8807572731129,55.4547511795114,-0.493977246395253,1.77289389396424,0.0980889065776827,1.73063965581764,0.620605329018447,0.479217663567717,-0.780135567815848,-0.514548084489992,2020
"19",19,"Grady Shue",77,19,53,76,62,76,22,11.05,1.86,1,0.86,10,213,1011,4,"LVC2020_MPO",75.295449349506,57.4958018251207,63.4530268327407,-0.493977246395253,0.0653171434618406,0.673418070158324,0.0691417780169275,0.729166027972112,-0.0126716209116463,-0.0187232536275802,0.596511496178663,2020
"20",19,"Dutch Napier",86,6,46,88,33,77,23,5.45,2.45,1.48,0.97,6,214,1013,4,"LVC2020_MPO",71.9625163609416,59.2650811748339,51.5251825219316,-0.388248783131708,1.34599970633864,-0.132042758854574,1.60283212675605,-0.844964106856021,0.0575982768711199,0.0574179777912465,-0.514548084489992,2020
